0 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,33 0,28 0,20 0,20 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,0 0,0 0
5 0,28 0,28 0,20 0,20 0,1 0,1 0,1 0,1 44,27 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,49 0,3 0
0 0,28 0,28 0,20 0,20 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,20 0,28 0,28 0,0 0,0 0
0 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,0 0,0 0
