0 0,0 0,1 0,1 0,1 0,1 0,8 0,8 0,8 0,8 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,15 0,15 0,15 0,15 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,1 0,42 0,37 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,15 0,27 0,27 0,15 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,0 0,38 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,15 0,27 0,27 0,15 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
1 0,18 0,1 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,15 0,15 0,15 0,15 0,1 0,1 0,1 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,10 0,1 0
1 0,0 0,1 0,0 0,1 0,1 32 1,0 0,16 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0
1 32 2,1 0,1 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,7 0,7 0,7 0,7 0,7 0,1 0
1 0,0 0,46 0,0 0,1 32 2,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0
17 0,0 0,0 0,0 0,0 0,1 0,0 0,1 40 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,0 0,0 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0,1 0,1 0,0 0,0 0,53 0
1 0,1 0,0 0,0 0,1 0,1 32 1,0 0,23 0,0 0,0 0,0 0,1 0,0 0,0 0,1 0,1 0,0 0,0 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0
0 0,1 0,1 32 2,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,1 0,1 0,1 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,0 0,0 0,0 0
0 0,1 0,0 0,0 0,1 32 2,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0
0 0,1 0,18 0,1 0,1 0,1 0,0 0,1 0,7 0,1 0,1 0,1 0,0 0,1 40 1,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,15 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,44 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
9 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0
9 0,0 0,1 0,1 0,1 0,1 0,1 0,1 40 1,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0,27 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,27 0
9 0,0 0,1 0,1 0,1 0,1 0,1 40 1,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,3 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0
9 0,0 0,1 0,1 0,1 0,1 40 1,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,27 0,0 0,1 0
9 0,0 0,1 0,1 0,1 40 1,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0
9 0,0 0,1 0,1 40 1,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,27 0,1 0,0 0,1 0,27 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0
9 0,0 0,1 40 1,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,22 40 1
8 0,1 0,1 0,1 0,1 0,27 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,21 0,22 40 1
0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 32 1,0 0,1 0,27 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,27 0,1 0,1 0,1 0,0 0,0 0,1 0,0 0,1 0,21 0,22 40 1
0 0,0 0,1 32 2,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0,21 0,22 40 1
0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 32 1,0 0,1 0,1 0,1 0,0 0,1 0,27 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,21 0,22 40 1
0 0,0 0,1 32 2,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,27 0,1 0,1 0,0 0,0 0,0 0,1 0,21 0,22 40 1
0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 32 1,0 0,1 0,5 0,1 0,0 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0,21 0,26 40 1
0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,27 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,25 26 3,0 0,0 0,0 0,0 0
0 0,0 0,0 0,0 0,48 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 16,0 0,1 0,1 0,1 0,1 0,1 0,28 0,1 0,1 0,1 0,1 0,38 0
