0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,3 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,28 0,1 0,1 0,1 16,1 0,1 0,1 16,1 0,1 0,1 16,1 0,28 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,28 0,1 16,27 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,21 0,1 0,1 0,1 0,0 0
0 0,1 0,1 0,28 0,1 0,1 0,1 16,1 0,1 0,1 16,1 0,1 0,1 16,1 0,28 0,1 0,49 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 36 2,1 0,0 0
0 0,1 0,0 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,27 0,1 16,28 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,22 0,1 0,1 0,0 0
0 0,1 0,0 0,28 0,1 0,1 16,1 0,1 0,1 16,1 0,1 0,1 16,1 0,1 0,28 0,10 0,12 0,0 0,0 0,11 0,10 0,10 0,10 0,12 0,0 0,0 0,1 0,1 0,1 26,1 0,1 0,0 0
0 0,1 0,0 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,28 0,0 0,10 0,0 0,0 0,10 0,0 0,0 0,0 0,10 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0
0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,10 0,0 0,0 0,10 0,0 0,47 0,0 0,10 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,27 0,0 0,0 0,0 0,0 0,0 0,13 0,10 0,10 0,14 0,0 0,1 0,0 0,13 0,10 0,10 0,10 0,10 0,10 0,12 0,0 0,0 0
0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,10 0,0 0,0 0
0 0,1 0,0 0,0 0,0 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 36 1,1 0,1 0,1 0,1 0,1 0,1 0,0 0,10 0,0 0,0 0
0 0,1 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,10 0,0 0,0 0
0 0,1 0,0 0,0 0,0 0,1 0,1 0,1 26,1 0,1 26,1 0,1 0,0 0,0 0,0 0,1 0,0 0,48 0,43 0,17 0,1 0,1 0,1 0,17 0,41 0,46 0,0 0,1 0,0 0,10 0,0 0,0 0
0 0,1 0,0 0,1 0,1 0,1 0,1 26,1 0,1 26,1 0,1 0,1 0,0 0,1 0,0 0,1 36 3,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 36 0,0 0,10 0,0 0,0 0
0 0,1 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,45 0,44 0,18 0,1 0,1 0,1 0,18 0,42 0,10 0,10 0,10 0,10 0,14 0,0 0,0 0
0 0,1 0,0 0,1 0,1 0,1 0,19 0,19 0,19 0,19 0,1 0,19 0,19 0,27 26,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0
0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,27 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 36 2,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0
0 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,27 0,1 0,1 0,19 0,19 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,1 0,29 0,29 0,29 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,46 0,0 0,0 0,0 0,0 0,16 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,1 0,29 0,27 0,29 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,4 0,0 0,0 0,0 0,0 0,6 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,1 0,29 0,30 0,29 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,4 0,0 0,0 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
0 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,9 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,4 0,0 0,0 0,0 0,15 0,10 0,15 0,15 0,15 0,15 0,15 0,15 0,15 0,15 0,15 0,0 0
