0 0,0 0,0 0,9 0,7 0,7 0,7 0,7 0,7 0,7 0,7 0,7 0,7 0,7 0,7 0
0 0,0 0,0 0,9 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,6 0
8 0,27 0,8 0,9 0,7 0,27 0,7 0,7 0,7 0,7 0,7 0,7 0,7 0,0 0,6 0
6 0,0 0,0 0,39 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,6 0,0 0,6 0
6 0,0 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,40 0,1 0,15 0,6 0,0 0,6 0
6 0,0 0,1 0,5 0,33 0,1 0,0 0,50 0,1 0,0 0,1 0,15 0,6 0,0 0,6 0
6 0,0 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,0 0,1 0,15 0,6 0,0 0,6 0
6 0,0 0,1 0,1 0,1 0,38 0,0 0,38 0,1 0,0 0,1 0,15 0,6 0,0 0,6 0
6 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,6 0
6 0,4 0,1 0,0 0,1 0,38 0,0 0,38 0,1 0,37 0,37 0,0 0,8 0,8 0,6 0
6 0,4 0,1 0,0 0,1 0,1 0,0 0,1 0,1 0,49 0,3 0,0 0,6 0,0 0,0 0
6 0,4 0,1 0,0 0,1 0,53 0,0 0,39 0,0 0,0 0,0 0,0 0,6 0,0 0,0 0
6 0,4 0,1 0,40 0,1 0,1 0,0 0,1 0,1 0,1 0,27 0,1 0,6 0,0 0,0 0
