1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,50 26,1 0,1 0,0 0
1 0,0 0,0 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0,1 26,0 0,0 0,1 0,0 0,1 0,0 0,0 0,1 0,0 0
1 0,1 0,1 0,1 26,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,1 0,0 0,1 0,0 0
0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 26,0 0,1 0,0 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,0 0,0 0,1 0,1 0,1 0,0 0
0 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 26,1 0,1 0,0 0,1 0,0 0
0 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,1 0,0 0,1 26,0 0,1 0,0 0,1 0,1 0,0 0,1 0,0 0
1 0,1 0,1 26,1 0,0 0,1 0,0 0,1 0,0 0,0 0,1 0,1 0,0 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,0 0,1 0,0 0
0 0,1 0,0 0,1 0,1 0,1 0,1 0,1 26,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,0 0,1 26,1 0,1 0,1 0,1 0,0 0,0 0,0 0,19 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0
1 0,1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0
0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,0 0,19 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,4 0,4 0,4 0,4 0,4 0,4 0,1 0,1 0,0 0,1 0
1 0,1 26,1 0,0 0,1 0,1 0,1 0,1 0,0 0,1 0,1 0,1 0,0 0,19 0,1 0,1 0,1 0,1 0,4 0,4 0,4 0,4 0,15 0,4 0,4 0,4 0,4 0,4 0,4 0,0 0,1 0
1 0,1 0,1 0,1 0,1 0,0 0,1 0,1 26,0 0,1 0,1 0,0 0,0 0,0 0,1 0,1 0,1 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,0 0,1 0
1 0,0 0,0 0,0 0,1 0,0 0,1 0,1 0,1 0,1 0,0 0,0 0,1 0,1 0,1 0,1 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,1 0,1 0,0 0,1 0
1 0,1 0,0 0,1 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,1 0,1 0,1 0,1 0,4 0,4 0,4 0,4 0,15 0,4 0,4 0,4 0,4 0,4 0,1 0,1 0,1 0,1 0,0 0,1 0
1 0,1 0,0 0,1 0,1 0,1 26,1 0,1 0,0 0,19 0,1 0,1 0,1 0,1 0,4 0,4 0,4 0,15 0,4 0,4 0,4 0,4 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0
1 0,1 0,0 0,0 0,0 0,1 0,1 0,1 0,0 0,19 0,1 0,1 0,1 0,4 0,4 0,15 0,4 0,4 0,4 0,4 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0
0 0,1 0,1 0,0 0,0 0,1 0,1 0,0 0,0 0,0 0,1 0,1 0,4 0,4 0,4 0,4 0,4 0,4 0,4 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0
1 0,1 0,1 0,0 0,0 0,1 0,1 0,0 0,1 0,1 0,1 0,4 0,4 0,4 0,15 0,4 0,4 0,4 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0
1 0,0 0,1 0,1 0,0 0,1 0,0 0,0 0,1 0,1 0,1 0,4 0,4 0,15 0,4 0,4 0,4 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0
1 0,1 26,1 0,1 0,1 0,1 0,1 0,0 0,0 0,1 0,36 0,4 0,4 0,4 0,4 0,4 0,4 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0
1 0,0 0,0 0,1 0,0 0,0 0,1 0,1 0,0 0,1 0,36 0,4 0,4 0,15 0,4 0,4 0,4 0,1 0,0 0,1 0,0 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0
1 0,1 0,0 0,1 0,0 0,0 0,0 0,1 0,0 0,1 0,36 0,4 0,4 0,4 0,4 0,4 0,4 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0
1 0,1 0,1 0,1 0,1 0,1 0,1 26,1 0,0 0,1 0,36 0,4 0,4 0,15 0,4 0,4 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0
1 0,1 0,0 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0,4 0,4 0,15 0,4 0,4 0,4 0,1 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0,1 0,0 0,1 0
1 0,1 0,0 0,1 0,1 0,0 0,0 0,0 0,0 0,1 0,4 0,15 0,4 0,4 0,4 0,4 0,1 0,1 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0,1 0,0 0,1 0,1 0,0 0,1 0
1 0,1 0,1 0,1 0,1 26,1 0,1 0,1 0,0 0,1 0,4 0,4 0,4 0,4 0,4 0,4 0,1 0,1 0,0 0,0 0,0 0,0 0,3 0,0 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0
1 0,1 0,0 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,4 0,15 0,4 0,4 0,4 0,4 0,1 0,1 0,0 0,0 0,0 0,49 0,49 0,49 0,0 0,0 0,0 0,1 0,1 0,0 0,1 0
1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0,1 0,4 0,4 0,15 0,4 0,4 0,4 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,0 0,1 0
0 0,0 0,0 0,1 0,1 0,1 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1 0
0 0,0 0,0 0,1 0,5 1,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0
