0 0,26 40 2,26 0,0 0,0 0,0 0,0 0,0 0,25 32 3,0 0,0 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,21 0,0 0,0 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,26 40 2,1 0,0 0,0 0
0 0,0 0,25 32 3,0 0,0 0,0 0,0 0,0 0,4 0,0 0,0 0
0 0,0 0,1 0,0 0,0 0,46 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,26 0,25 36 2,1 0,1 0,1 0,4 0,0 0,0 0,0 0
0 0,0 0,26 0,4 0,1 0,1 0,1 0,25 36 1,0 0,0 0,0 0
0 0,0 0,26 0,25 36 2,1 0,1 0,1 0,4 0,0 0,0 0,0 0
0 0,0 0,26 0,4 0,1 0,1 0,1 0,25 36 1,0 0,0 0,0 0
0 0,0 0,26 0,25 36 2,1 0,1 0,1 0,4 0,0 0,0 0,0 0
0 0,0 0,26 0,4 0,1 0,1 0,1 0,25 36 1,0 0,0 0,0 0
0 0,0 0,26 0,25 36 2,1 0,1 0,1 0,4 0,0 0,0 0,0 0
0 0,0 0,26 0,4 0,1 0,1 0,1 0,25 36 1,0 0,0 0,0 0
0 0,0 0,26 0,25 36 2,1 0,1 0,1 0,4 0,0 0,0 0,0 0
0 0,0 0,26 0,4 0,1 0,1 0,1 0,25 36 1,0 0,0 0,0 0
0 0,0 0,26 0,25 36 2,1 0,1 0,1 0,4 0,0 0,0 0,0 0
0 0,0 0,26 0,4 0,1 0,1 0,1 0,25 36 1,0 0,0 0,0 0
0 0,0 0,4 0,0 0,0 0,1 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,1 0,5 0,22 0,24 0,1 0,0 0,0 0,0 0
0 0,0 0,0 0,1 0,1 0,1 0,1 0,1 0,0 0,0 0,0 0
0 0,0 0,0 0,0 0,0 0,42 0,0 0,0 0,0 0,0 0,0 0
0 0,0 0,0 0,0 0,3 0,1 0,3 0,0 0,0 0,0 0,0 0
