29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0
29 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,29 0
29 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,1 0,29 0
29 0,29 0,30 0,29 0,29 0,30 0,0 0,0 0,0 0,0 0,0 0,30 0,29 0,29 0,29 0,29 0,29 0
29 0,27 0,1 0,31 0,1 0,1 0,29 0,1 0,1 0,1 0,29 0,1 0,1 0,32 0,1 0,27 0,29 0
29 0,27 0,1 0,31 0,1 0,1 0,29 0,1 0,33 0,1 0,30 0,1 0,1 0,32 0,1 0,27 0,29 0
29 0,27 0,1 0,31 0,1 0,1 0,30 0,1 0,5 0,1 0,29 0,1 0,1 0,32 0,1 0,27 0,29 0
29 0,27 0,1 0,31 0,1 0,1 0,29 0,1 0,1 0,1 0,29 0,1 0,1 0,32 0,1 0,27 0,29 0
29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0,49 0 4,29 0,29 0,29 0,29 0,29 0,29 0,29 0,29 0
0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,3 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
